                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                1.51457,                1.13589,                0.94797,                 0.4454,                0.34616,                0.34108,                0.18276,                1.58654,                1.06109,                0.93396,                0.00019,                0.00019,                0.00019
                     38,                1.50404,                1.12755,                0.94606,                0.44841,                0.34811,                0.34621,                0.18732,                1.57929,                1.05667,                0.93232,                0.00017,                0.00017,                0.00017
                     39,                1.49214,                1.11654,                0.94331,                0.45129,                0.35009,                0.34961,                0.19242,                1.56809,                1.05268,                0.93008,                0.00014,                0.00014,                0.00014
                     40,                1.48068,                1.10617,                0.94095,                0.45405,                0.35208,                0.35753,                0.19802,                1.55672,                1.04808,                0.92808,                0.00012,                0.00012,                0.00012
                     41,                1.46867,                1.09449,                0.93857,                0.45676,                  0.354,                0.36222,                0.20411,                1.53831,                1.04273,                0.92522,                 0.0001,                 0.0001,                 0.0001
                     42,                1.45448,                1.08071,                  0.936,                0.45921,                 0.3559,                 0.3689,                0.21035,                1.53385,                1.04089,                0.92419,                  9e-05,                  9e-05,                  9e-05
                     43,                1.43158,                1.05952,                0.93151,                0.46141,                0.35771,                0.37467,                0.21679,                1.51707,                1.03735,                0.92168,                  7e-05,                  7e-05,                  7e-05
                     44,                1.41757,                1.04462,                 0.9287,                0.46344,                0.35942,                0.38131,                0.22314,                 1.5106,                1.03469,                 0.9205,                  6e-05,                  6e-05,                  6e-05
                     45,                1.40621,                1.03265,                0.92631,                0.46526,                0.36096,                0.38865,                0.22923,                1.50148,                1.03165,                0.91887,                  4e-05,                  4e-05,                  4e-05
                     46,                1.39642,                1.02275,                0.92444,                0.46683,                0.36232,                0.39524,                0.23469,                1.49818,                1.02986,                0.91817,                  3e-05,                  3e-05,                  3e-05
                     47,                1.38889,                1.01549,                0.92283,                0.46813,                0.36346,                0.40091,                0.23941,                1.49401,                1.02846,                0.91741,                  3e-05,                  3e-05,                  3e-05
                     48,                1.38414,                1.00996,                0.92171,                0.46918,                0.36433,                0.40509,                0.24321,                1.49189,                1.02688,                0.91699,                  2e-05,                  2e-05,                  2e-05
                     49,                1.38125,                1.00701,                 0.9213,                0.46986,                 0.3649,                0.40837,                0.24578,                1.49039,                1.02612,                0.91666,                  1e-05,                  1e-05,                  1e-05
                     50,                1.37876,                1.00508,                0.92081,                0.47021,                 0.3651,                0.40758,                0.24561,                1.49072,                 1.0258,                0.91669,                  1e-05,                  1e-05,                  1e-05
