                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                1.37117,                0.95063,                0.92273,                0.47733,                0.37371,                0.38017,                0.22434,                1.31269,                0.90823,                0.89469,                0.00019,                0.00019,                0.00019
                     38,                1.36518,                0.94505,                0.92203,                0.47637,                0.37496,                0.38156,                0.22533,                1.31427,                0.90811,                0.89486,                0.00017,                0.00017,                0.00017
                     39,                1.35799,                0.93472,                0.91975,                0.48271,                0.37464,                0.38308,                0.22659,                1.30988,                0.90367,                0.89408,                0.00014,                0.00014,                0.00014
                     40,                1.35201,                0.92966,                0.91848,                0.48412,                 0.3729,                0.38428,                 0.2275,                1.30776,                0.90368,                 0.8935,                0.00012,                0.00012,                0.00012
                     41,                1.34672,                0.92223,                0.91762,                0.48605,                0.37512,                0.38576,                0.22867,                1.30801,                0.90129,                0.89386,                 0.0001,                 0.0001,                 0.0001
                     42,                1.33687,                 0.9103,                0.91617,                0.48552,                0.37437,                0.38771,                0.23027,                1.30596,                0.89954,                0.89313,                  9e-05,                  9e-05,                  9e-05
                     43,                1.30779,                0.87864,                0.90984,                0.48287,                0.37301,                0.38953,                0.23171,                 1.3075,                0.90347,                0.89384,                  7e-05,                  7e-05,                  7e-05
                     44,                1.29808,                0.86532,                0.90781,                0.48477,                0.37411,                0.39113,                0.23296,                 1.3026,                0.90027,                0.89313,                  6e-05,                  6e-05,                  6e-05
                     45,                1.28984,                0.85564,                0.90601,                0.48652,                0.37368,                0.39288,                0.23436,                1.30277,                0.89909,                0.89298,                  4e-05,                  4e-05,                  4e-05
                     46,                1.28323,                0.84879,                0.90479,                0.48575,                0.37463,                 0.3946,                0.23577,                1.30341,                0.89866,                0.89303,                  3e-05,                  3e-05,                  3e-05
                     47,                1.27819,                0.84405,                0.90331,                0.48601,                0.37461,                0.39593,                0.23684,                1.30325,                0.89847,                0.89289,                  3e-05,                  3e-05,                  3e-05
                     48,                1.27651,                0.84053,                0.90271,                0.48712,                0.37454,                0.39695,                0.23765,                1.30193,                0.89726,                0.89273,                  2e-05,                  2e-05,                  2e-05
                     49,                 1.2733,                0.83819,                0.90259,                 0.4874,                0.37431,                0.39771,                0.23826,                1.29934,                0.89634,                0.89246,                  1e-05,                  1e-05,                  1e-05
                     50,                1.27218,                0.83712,                0.90209,                0.48928,                0.37458,                0.39832,                0.23851,                1.30191,                0.89649,                0.89262,                  1e-05,                  1e-05,                  1e-05
